,Unnamed: 0,id,local_name,unique_name,latitude,longitude,population,country,city
4167,4167,4898,"Meran - Merano, TAA, Italia",meran---merano,46.6712938,11.1525179,,Italia,
4168,4168,7534,"Manciet Centre, Occitanie, France",manciet-centre,43.7992,0.04069,,France,
4169,4169,5841,"Bolzano Bozen, TAA, Italia",bolzano-bozen,46.4964,11.3586,,Italia,Bolzano - Bozen
4170,4170,4911,"New Orleans, Louisiana, United States of America",new-orleans,29.9510658,-90.0715323,,United States,New Orleans
4171,4171,5872,"Bourg-Saint-Maurice (acces funiculaire a la station de ski 'Les Arcs'), Auvergne-Rhône-Alpes, France",bourg-saint-maurice-,45.6183,6.7712,,France,
4172,4172,9653,"Ger, Nouvelle-Aquitaine, France",ger,43.253,-0.0518,,France,
4173,4173,6722,"Gioiosa Jonica, Calabria, Italia",gioiosa-jonica,38.3008,16.3325,,Italia,
4174,4174,2416,"Sighișoara, Mureș, România",sighișoara,46.2176969,24.7937765,,România,
4175,4175,2418,"Sinaia, Prahova, România",sinaia,45.3456607,25.5479283,,România,
4176,4176,5020,"Thiers-sur-Thève, Hauts-de-France, France",thiers-sur-theve,49.137161,2.569371,,France,
4177,4177,2467,"Stancija Žmak, Istarska županija, Hrvatska",stancija-zmak,44.89473,13.8980107,,Hrvatska,
4178,4178,2462,"Stafford, England, United Kingdom",stafford,52.8063157,-2.1163817000000003,,United Kingdom,
4179,4179,7137,"Lanuéjouls, Occitanie, France",lanuejouls,44.428000000000004,2.162,,France,
4180,4180,7233,"Le Châtelard, Auvergne-Rhône-Alpes, France",le-chatelard,45.68528,6.13722,,France,
4181,4181,9660,"Givry, Bourgogne-Franche-Comté, France",givry,46.7822,4.7457,,France,
4182,4182,9661,"Gizy, Hauts-de-France, France",gizy,49.6013,3.7739999999999996,,France,
4183,4183,5528,"Antignac Hte Garonne, Occitanie, France",antignac-hte-garonne,42.8253,0.6005,,France,
4184,4184,7135,"Lanobre Gare, Auvergne-Rhône-Alpes, France",lanobre-gare,45.4365,2.5346900000000003,,France,
4185,4185,7141,"La Peyratte, Nouvelle-Aquitaine, France",la-peyratte,46.675,-0.1487,,France,
4186,4186,7358,"Lexy, Grand-Est, France",lexy,49.50356,5.7338,,France,
4187,4187,857,"Troyes, Grand-Est, France",troyes,48.328044,4.100755,,France,
4188,4188,2442,"Sokołów Małopolski, podkarpackie, Polska",sokolow-malopolski,50.2311643,22.1189272,,Polska,
4189,4189,2460,"Srebrenik, Federacija Bosne i Hercegovine, Bosna i Hercegovina",srebrenik,44.7039779,18.4914812,,Bosna i Hercegovina / Босна и Херцеговина,
4190,4190,2464,"Stamford Bridge, England, United Kingdom",stamford-bridge,53.99070079999999,-0.9131155,,United Kingdom,
4191,4191,2471,"Stara Wieś, podkarpackie, Polska",stara-wies,49.7214975,22.0095894,,Polska,
4192,4192,2474,"Stargard, zachodniopomorskie, Polska",stargard,53.3379935,15.035049300000004,,Polska,
4193,4193,5529,"Antist, Occitanie, France",antist,43.1172,0.1282,,France,
4194,4194,5532,"Anzeling, Grand-Est, France",anzeling,49.26278,6.46611,,France,
4195,4195,5534,"Apach Eglise, Grand-Est, France",apach-eglise,49.4616,6.3741,,France,
4196,4196,5538,"Araya, Euskadi, España",araya,42.888999999999996,-2.3153,,España,
4197,4197,5541,"Arcambal Mairie, Occitanie, France",arcambal-mairie,44.4564,1.5134,,France,
4198,4198,2550,"Thale, Sachsen-Anhalt, Deutschland",thale,51.7527606,11.037722,,Deutschland,
4199,4199,7678,"Mignaloux - Nouaillé, Nouvelle-Aquitaine, France",mignaloux---nouaille,46.52603,0.41135,,France,
4200,4200,872,"Valence, Auvergne-Rhône-Alpes, France",valence,44.926909,4.892386,792303.0,France,
4201,4201,876,"Vannes, Bretagne, France",vannes,47.664938,-2.752321,,France,
4202,4202,892,"Vitry-le-François, Grand-Est, France",vitry-le-francois,48.728045,4.591545,,France,
4203,4203,2476,"Starogard Gdański, pomorskie, Polska",starogard-gdanski,53.96718050000001,18.532113,,Polska,
4204,4204,2477,"St Asaph, Wales, UK",st-asaph,53.25756139999999,-3.4438606,,United Kingdom,St Asaph
4205,4205,7700,"Modena (Modène), EMR, Italia",modena-,44.6544,10.9303,,Italia,Modena
4206,4206,7701,"Moenchengladbach HBF, Nordrhein-Westfalen, Deutschland",moenchengladbach-hbf,51.1964,6.4461,,Deutschland,Mönchengladbach
